id;label;amount;status;category
1;mobile Fish;77969;Savings Account Dam;Practical Fresh Pants
2;Metal deposit;5641;transmitter Implementation Electronics;Soap methodology Albania
3;Home Namibia;39986;Gorgeous Frozen Pants;Common
4;Savings Account syndicate Planner;46676;HDD;Table Small Frozen Sausages Planner
5;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized
6;copy convergence;20794;Georgia Industrial;connect Markets Chief
7;capacitor archive;57044;Aruba;software scale interactive
8;Louisiana Specialist Home Loan Account;27599;scalable;Small
9;deliverables reinvent 24 hour;1407;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
10;generating Highway Ergonomic;37081;Lempira;pixel withdrawal
